"","Casualty.Class","Age.of.Casualty","Weather.Conditions","Type.of.Vehicle","Casualty.Severity"
"243",1,23,2,9,2
"244",2,86,1,9,3
"245",1,36,1,9,3
"246",3,63,1,11,3
"247",1,60,1,1,3
"248",1,17,1,3,2
"249",3,8,1,9,2
"250",3,32,1,9,3
"251",1,22,1,9,2
"252",3,16,5,9,3
"253",1,47,1,5,3
"254",1,17,1,9,3
"255",1,49,1,9,3
"256",1,38,1,9,3
"257",1,90,1,9,3
"258",1,31,1,9,3
"259",1,42,1,5,1
"260",1,32,1,21,3
"261",1,41,1,1,2
"262",1,25,1,9,3
"263",1,64,1,9,3
"264",3,56,1,19,3
"265",1,32,1,9,3
"266",1,27,1,9,3
"267",1,62,1,9,3
"268",1,43,1,9,3
"269",3,87,1,9,3
"270",3,32,1,9,3
"271",1,33,1,9,3
"272",2,29,1,9,3
"273",2,27,1,8,3
"274",2,56,1,9,3
"275",1,24,1,9,3
"276",3,15,1,19,2
"277",2,30,1,9,3
"278",1,41,1,9,3
"279",1,33,1,9,3
"280",3,25,1,9,3
"281",1,34,1,9,3
"282",1,28,1,9,3
"283",3,42,1,9,3
"284",2,5,1,19,3
"285",1,23,1,9,3
"286",3,30,1,9,3
"287",1,19,1,9,2
"288",1,64,1,21,3
"289",3,27,1,9,3
"290",3,17,1,19,3
"291",1,40,1,9,3
"292",1,25,1,9,3
"293",2,25,1,9,3
"294",1,27,1,1,3
"295",1,26,1,9,2
"296",1,56,1,9,3
"297",1,61,1,9,3
"298",1,62,1,9,3
"299",2,47,1,19,2
"300",1,38,1,9,3
"301",1,51,2,9,3
"302",1,37,1,9,3
"303",1,66,1,9,3
"304",3,14,1,9,3
"305",1,27,1,3,3
"306",1,35,1,9,3
"307",3,6,1,9,3
"308",3,75,1,97,3
"309",3,10,1,9,3
"310",1,73,1,9,3
"311",1,44,1,9,3
"312",2,12,1,9,2
"313",1,60,1,9,3
"314",1,18,1,19,3
"315",1,88,1,9,2
"316",1,35,1,9,3
"317",1,67,1,9,3
"318",2,50,1,9,3
"319",3,15,1,8,3
"320",1,83,1,9,3
"321",1,46,8,9,3
"322",1,36,1,8,3
"323",3,14,1,9,3
"324",1,58,1,9,3
"325",2,23,1,9,2
"326",1,67,1,9,3
"327",3,15,1,9,3
"328",3,49,2,11,1
"329",1,38,1,1,3
"330",1,72,1,9,2
"331",2,74,1,9,3
"332",1,88,1,9,3
"333",1,31,1,9,2
"334",3,9,1,9,3
"335",1,24,1,9,2
