"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"453",1,2016-03-19,1727,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",24
"454",1,2016-03-19,1727,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",23
"455",3,2016-03-19,1856,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",72
"456",3,2016-03-19,1856,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",21
"457",3,2016-03-19,1856,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Female",21
"458",1,2016-03-19,1902,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",93
"459",2,2016-03-21,1655,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",41
"460",3,2016-03-22,1710,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,2,"Male",36
"461",1,2016-03-22,1730,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",7
"462",2,2016-03-23,1700,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",79
"463",1,2016-03-24,759,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Other",9,1,3,"Female",27
"464",1,2016-03-24,759,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Other",9,2,3,"Male",36
"465",3,2016-03-24,1025,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",59
"466",3,2016-03-24,1025,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",10
"467",1,2016-03-24,1555,"A","Dry","Daylight: Street Lights Present","Daylight","Other",9,3,2,"Male",14
"468",2,2016-03-24,1827,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",4,1,3,"Male",49
"469",2,2016-03-25,715,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",50
"470",1,2016-03-26,1731,"Motorway","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,1,3,"Female",33
"471",1,2016-03-27,1350,"Motorway","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,2,3,"Female",26
"472",3,2016-03-27,1910,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",39
"473",3,2016-03-29,845,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Snowing, no high winds",9,1,3,"Male",36
"474",2,2016-03-29,600,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",35
"475",2,2016-03-31,930,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",35
"476",2,2016-03-31,930,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",35
"477",1,2016-04-02,550,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",36
"478",1,2016-04-02,1353,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",22
"479",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",47
"480",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",46
"481",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",16
"482",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",32
"483",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",62
"484",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",62
"485",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",70
"486",3,2016-04-02,1610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",70
"487",1,2016-04-06,2148,"Unknown","Wet/Damp","Darkness: Street Lights Present::Off","Dark","Raining, no high winds",8,3,3,"Male",77
"488",1,2016-04-08,1030,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",21,1,3,"Male",49
"489",1,2016-04-10,1443,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",14
"490",3,2016-04-10,2122,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",32
"491",1,2016-04-11,1308,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",21,3,3,"Male",54
"492",1,2016-04-11,1604,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",4
"493",1,2016-04-12,1236,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,3,2,"Female",37
"494",2,2016-04-12,1620,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",44
"495",2,2016-04-12,1620,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",23
"496",1,2016-04-12,2104,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",19
"497",1,2016-04-12,2104,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",15
"498",1,2016-04-12,2104,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,2,"Male",25
"499",2,2016-04-13,1649,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",46
"500",1,2016-04-13,1700,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,1,"Male",46
"501",2,2016-04-15,1256,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",43
"502",1,2016-04-14,1515,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",4
"503",2,2016-04-14,1800,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",25
"504",2,2016-04-15,1505,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,2,"Female",53
"505",2,2016-04-15,1800,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",50
"506",1,2016-04-18,2221,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Female",55
"507",2,2016-04-19,800,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,2,"Female",21
"508",4,2016-04-19,1136,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",26
"509",4,2016-04-19,1136,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",38
"510",2,2016-04-20,910,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,2,"Male",74
"511",4,2016-04-20,1525,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",37
"512",4,2016-04-20,1525,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,1,3,"Male",45
"513",4,2016-04-20,1525,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",51
"514",4,2016-04-20,1525,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",24
"515",3,2016-04-21,2244,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",34
"516",3,2016-04-21,2244,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Male",20
"517",2,2016-04-22,811,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",57
"518",2,2016-04-22,811,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",62
"519",2,2016-04-22,1258,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",41
"520",2,2016-04-23,130,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",23
"521",2,2016-04-23,130,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",8,1,3,"Male",40
"522",2,2016-04-17,1730,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",51
"523",2,2016-04-25,610,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",37
"524",2,2016-04-25,1736,"Motorway","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",27
"525",2,2016-04-25,1736,"Motorway","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",20,1,3,"Male",31
"526",2,2016-04-25,1730,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",59
"527",1,2016-04-26,1545,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",14
"528",3,2016-04-28,2104,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",60
"529",2,2016-04-30,718,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",30
"530",1,2016-04-30,1205,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",51
"531",2,2016-04-30,1925,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",54
"532",1,2016-04-30,1230,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",43
"533",2,2016-05-01,2239,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",26
"534",2,2016-05-03,1126,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",29
"535",1,2016-05-03,1725,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",11
"536",3,2016-05-04,743,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",31
"537",3,2016-05-04,743,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",22
"538",1,2016-05-05,756,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,3,3,"Female",25
"539",1,2016-05-05,756,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",24
"540",1,2016-05-05,756,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,2,3,"Female",22
"541",2,2016-05-05,1700,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",24
"542",2,2016-05-06,1418,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",27
"543",2,2016-05-06,1230,"B","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",40
"544",1,2016-05-07,2207,"A","Wet/Damp","Darkness: No Street Lights Present",NA,"Fine, no high winds",9,2,3,"Male",19
"545",2,2016-05-08,1202,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",30
"546",1,2016-05-10,1515,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Female",6
"547",2,2016-05-10,1720,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",1,1,3,"Male",40
"548",2,2016-05-10,1345,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",50
"549",3,2016-05-11,904,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",79
"550",3,2016-05-11,904,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",73
"551",4,2016-05-12,705,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",64
"552",4,2016-05-12,705,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",55
"553",1,2016-05-13,1555,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",20
"554",1,2016-05-13,2000,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",2,1,3,"Male",19
"555",2,2016-05-14,951,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",24
"556",2,2016-05-14,1438,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",24
"557",2,2016-05-14,1438,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",42
"558",2,2016-05-14,1420,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",9
"559",2,2016-05-14,1420,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",32
"560",2,2016-05-14,1420,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",11
"561",1,2016-05-14,1905,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,3,"Female",32
"562",2,2016-05-15,855,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",48
"563",2,2016-05-15,855,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",20
"564",2,2016-05-16,1735,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",57
"565",2,2016-05-16,2000,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",13
"566",2,2016-05-16,2314,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",83
"567",2,2016-05-16,2314,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Male",79
"568",2,2016-05-16,2314,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",34
"569",2,2016-05-17,1209,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Female",31
"570",2,2016-05-17,1209,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",42
"571",1,2016-05-14,1645,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",35
"572",3,2016-05-17,1810,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",19
"573",3,2016-05-17,1810,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",62
"574",2,2016-05-19,1400,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",1
"575",2,2016-05-19,1400,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",52
"576",1,2016-05-19,2149,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Female",45
"577",1,2016-05-19,2149,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Female",26
"578",1,2016-05-20,230,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Female",23
"579",1,2016-05-20,230,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Female",24
"580",1,2016-05-20,230,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,3,"Male",25
"581",1,2016-05-21,210,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,2,"Male",20
"582",1,2016-05-21,210,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,2,2,"Male",NA
"583",1,2016-05-21,210,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,2,3,"Male",21
"584",1,2016-05-21,210,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,2,3,"Male",25
"585",2,2016-05-21,2108,"B","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,2,3,"Female",19
"586",2,2016-05-21,2108,"B","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,2,"Female",40
"587",1,2016-05-22,2045,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",18
"588",1,2016-05-22,2045,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Female",16
"589",2,2016-05-23,1435,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,2,"Female",74
"590",2,2016-05-23,1720,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",44
"591",2,2016-05-24,1428,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",65
"592",2,2016-05-24,1428,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",68
"593",2,2016-05-24,1428,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",46
"594",2,2016-05-24,2022,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Female",65
"595",1,2016-05-26,1155,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",8,3,3,"Female",75
"596",1,2016-05-26,1632,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",2,1,2,"Male",20
"597",1,2016-05-26,1720,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,3,3,"Male",8
"598",2,2016-05-27,2345,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",45
"599",2,2016-05-27,2345,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,2,3,"Female",45
"600",3,2016-05-28,1016,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",26
"601",3,2016-05-28,1016,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",46
"602",1,2016-05-29,2018,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",60
"603",1,2016-05-30,1735,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Male",15
"604",3,2016-05-31,1603,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",20
"605",3,2016-05-31,1603,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",21
"606",3,2016-05-31,1603,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,1,3,"Male",28
"607",2,2016-05-31,1750,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",23,1,3,"Male",16
"608",2,2016-06-02,1515,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",37
"609",2,2016-06-02,1515,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",10
"610",2,2016-06-02,1515,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",12
"611",1,2016-06-05,1342,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,3,2,"Male",1
"612",1,2016-06-06,1300,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,3,3,"Male",36
"613",3,2016-06-11,2035,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,3,"Male",63
"614",3,2016-06-11,2035,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,2,3,"Male",25
"615",2,2016-06-12,1248,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Female",65
"616",2,2016-06-14,2132,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",25
"617",1,2016-06-16,1215,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",100
"618",2,2016-06-18,1315,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Male",31
"619",2,2016-06-18,1315,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Female",27
"620",2,2016-06-18,1315,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Male",9
"621",2,2016-06-18,1315,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Female",7
"622",2,2016-06-18,1315,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Male",1
"623",2,2016-06-18,1315,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,2,3,"Female",54
"624",2,2016-06-18,1448,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",36
"625",2,2016-06-14,20,"Unknown","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",37
"626",2,2016-06-20,1734,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",27
"627",2,2016-06-20,1734,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",31
"628",2,2016-06-20,1734,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",24
"629",2,2016-06-22,1615,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",90
"630",1,2016-06-24,115,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,3,2,"Male",24
"631",2,2016-06-24,1515,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",20
"632",2,2016-06-26,1200,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",44
"633",2,2016-06-26,1245,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",54
"634",1,2016-06-28,1607,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,3,3,"Female",16
"635",1,2016-06-28,1627,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,2,"Female",92
"636",1,2016-06-28,2344,"A","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",34
"637",1,2016-06-30,1211,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,3,3,"Female",79
"638",2,2016-07-03,820,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",67
"639",2,2016-07-04,1054,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",39
"640",3,2016-07-04,2315,"Unknown","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,3,2,"Male",21
"641",1,2016-07-05,1524,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",6
"642",1,2016-07-08,330,"A","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",19,2,3,"Male",26
"643",2,2016-07-06,800,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",27
"644",1,2016-07-08,1134,"B","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Male",21
"645",2,2016-07-09,1155,"A","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",30
"646",1,2016-07-09,1520,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,2,3,"Female",53
"647",1,2016-07-09,2135,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,3,2,"Male",52
"648",2,2016-07-10,1310,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",40
"649",3,2016-07-10,1548,"Unknown","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",42
"650",2,2016-07-11,1630,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,2,"Male",75
"651",2,2016-07-11,1812,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",10
"652",4,2016-07-12,945,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",76
"653",4,2016-07-12,945,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",21
"654",2,2016-07-14,822,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",3,1,3,"Female",45
"655",2,2016-07-15,752,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",11
"656",2,2016-07-15,1328,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",53
"657",2,2016-07-15,1328,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",19
"658",2,2016-07-15,1328,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",8,1,3,"Male",53
"659",2,2016-07-16,305,"Motorway","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, high winds",21,1,3,"Male",51
"660",2,2016-07-16,305,"Motorway","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, high winds",11,1,2,"Male",35
"661",2,2016-07-16,305,"Motorway","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, high winds",11,2,2,"Male",22
"662",2,2016-07-16,1609,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",2
"663",2,2016-07-16,1609,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",6
"664",3,2016-07-16,2145,"Unknown","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",43
"665",2,2016-07-17,1316,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,1,"Male",32
"666",2,2016-07-17,1316,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,2,"Male",61
"667",2,2016-07-18,1825,"Motorway","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",38
"668",2,2016-07-19,755,"A","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,2,3,"Female",49
"669",2,2016-07-19,1730,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",19,2,3,"Female",20
"670",2,2016-07-18,1839,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",36
"671",2,2016-07-18,1839,"Unknown","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",7
